iter	Logloss
0	0.668512215
1	0.6483995109
2	0.6316744665
3	0.6180288356
4	0.6066822536
5	0.5975294881
6	0.5894462098
7	0.5825958326
8	0.5770466106
9	0.5720765244
10	0.5677900081
11	0.5643742433
12	0.5611681235
13	0.5585379245
14	0.5564605046
15	0.5543173302
16	0.5525207096
17	0.5510543013
18	0.5495710129
19	0.5484464768
20	0.5472984078
21	0.5464330427
22	0.5456067239
23	0.5447770081
24	0.5441088004
25	0.5435636282
26	0.5429663065
27	0.5425026767
28	0.5421531949
29	0.5417369851
30	0.54129356
31	0.5409121994
32	0.5405882907
33	0.5403813087
34	0.5400266833
35	0.5397131034
36	0.5394369852
37	0.5391325111
38	0.5388876375
39	0.5386823864
40	0.5384558155
41	0.5382923644
42	0.5380646651
43	0.5379009359
44	0.5376815773
45	0.5375636202
46	0.5374174695
47	0.5372641961
48	0.5371436043
49	0.5370010556
50	0.5368344301
51	0.5366959294
52	0.5365557719
53	0.5364661939
54	0.5363876494
55	0.536274448
56	0.5361982102
57	0.5361339568
58	0.5360102851
59	0.5358706905
60	0.5357843457
61	0.5357260246
62	0.535645606
63	0.5355340667
64	0.5354838144
65	0.5354134539
66	0.5353456634
67	0.5352288454
68	0.535155811
69	0.5350829393
70	0.5349664918
71	0.5348973509
72	0.5348270302
73	0.5347195285
74	0.5346520638
75	0.5345914803
76	0.5345041655
77	0.5344399474
78	0.5343755692
79	0.5343041713
80	0.5342372396
81	0.5342322314
82	0.5341201052
83	0.5340540049
84	0.5339999415
85	0.5339495777
86	0.5338783398
87	0.5338109809
88	0.5337558699
89	0.5336479463
90	0.533599077
91	0.5335811977
92	0.5335410678
93	0.5334759777
94	0.5334011023
95	0.5332308298
96	0.5331428313
97	0.533076627
98	0.5330305429
99	0.5329935399
