iter	Passed	Remaining
0	3	324
1	6	311
2	10	347
3	13	335
4	17	337
5	21	331
6	24	323
7	27	318
8	31	316
9	35	316
10	38	310
11	41	306
12	45	304
13	49	301
14	52	295
15	55	290
16	58	284
17	61	281
18	65	279
19	68	274
20	71	270
21	74	265
22	78	262
23	81	259
24	85	255
25	88	250
26	90	246
27	94	241
28	97	238
29	100	234
30	103	230
31	106	226
32	109	222
33	113	220
34	116	216
35	119	212
36	122	208
37	125	204
38	128	201
39	131	197
40	135	194
41	139	192
42	142	188
43	145	184
44	148	181
45	151	177
46	154	174
47	157	170
48	160	166
49	163	163
50	166	159
51	169	156
52	172	152
53	175	149
54	178	145
55	181	142
56	184	139
57	187	135
58	190	132
59	193	129
60	196	125
61	199	122
62	204	120
63	207	116
64	211	113
65	214	110
66	217	106
67	220	103
68	223	100
69	227	97
70	230	94
71	233	90
72	236	87
73	239	84
74	243	81
75	246	77
76	249	74
77	252	71
78	254	67
79	258	64
80	261	61
81	264	58
82	267	54
83	270	51
84	273	48
85	276	45
86	279	41
87	282	38
88	285	35
89	288	32
90	291	28
91	294	25
92	297	22
93	300	19
94	303	15
95	307	12
96	310	9
97	313	6
98	316	3
99	319	0
